page,code,time_hr,type,composition,,,,,,,
90,02-04-008-225-2,75,Spinel,8.25,,,,,,,
90,02-04-008-225-2,75,Rutile,3.30,,,,,,,
91,02-04-008-310-3,200,Oxide,NiO,,,,,,,
91,02-04-008-310-3,200,Spinel,8.10,,,,,,,
91,02-04-008-310-3,200,Spinel,8.25,,,,,,,
91,02-04-008-310-3,200,Oxide,"Ni(W,Mo)O4 Type 1",,,,,,,
91,02-04-008-310-3,200,Rutile,3.30,,,,,,,
91,02-04-008-310-3,200,Oxide,NiTiO3,,,,,,,
91,02-04-008-310-3,200,Oxide,Al2O3,,,,,,,
92,02-04-009-225-3,100,Oxide,NiO,,,,,,,
92,02-04-009-225-3,100,Oxide,"Ni(W,Mo)O4 Type 1",,,,,,,
92,02-04-009-225-3,100,Spinel,8.10,,,,,,,
92,02-04-009-225-3,100,Spinel,8.25,,,,,,,
92,02-04-009-225-3,100,Rutile,3.30,,,,,,,
92,02-04-009-225-3,100,Oxide,HfO2,,,,,,,
93,02-04-009-225-6,100,Oxide,NiO,,,,,,,
93,02-04-009-225-6,100,Oxide,"Ni(W,Mo)O4 Type 1",,,,,,,
93,02-04-009-225-6,100,Spinel,8.10,,,,,,,
93,02-04-009-225-6,100,Spinel,8.25,,,,,,,
93,02-04-009-225-6,100,Rutile,3.30,,,,,,,
93,02-04-009-225-6,100,Oxide,HfO2,,,,,,,
94,02-04-010-225-4,100,Oxide,NiO,,,,,,,
94,02-04-010-225-4,100,Oxide,"Ni(W,Mo)O4 Type 1",,,,,,,
94,02-04-010-225-4,100,Spinel,8.10,,,,,,,
94,02-04-010-225-4,100,Spinel,8.25,,,,,,,
94,02-04-010-225-4,100,Rutile,3.30,,,,,,,
94,02-04-010-225-4,100,Oxide,HfO2,,,,,,,
95,02-04-010-225-5,100,Oxide,NiO,,,,,,,
95,02-04-010-225-5,100,Oxide,"Ni(W,Mo)O4 Type 1",,,,,,,
95,02-04-010-225-5,100,Spinel,8.10,,,,,,,
95,02-04-010-225-5,100,Spinel,8.25,,,,,,,
95,02-04-010-225-5,100,Rutile,3.30,,,,,,,
95,02-04-010-225-5,100,Oxide,HfO2,,,,,,,
96,02-04-009-310-4,200,Oxide,NiO,,,,,,,
96,02-04-009-310-4,200,Spinel,8.25,,,,,,,
96,02-04-009-310-4,200,Spinel,8.10,,,,,,,
96,02-04-009-310-4,200,Oxide,"Ni(W,Mo)O4 Type 1",,,,,,,
96,02-04-009-310-4,200,Rutile,3.30,,,,,,,
96,02-04-009-310-4,200,Oxide,HfO2,,,,,,,
97,02-04-010-310-5,200,Oxide,NiO,,,,,,,
97,02-04-010-310-5,200,Oxide,"Ni(W,Mo)O4 Type 1",,,,,,,
97,02-04-010-310-5,200,Spinel,8.10,,,,,,,
97,02-04-010-310-5,200,Spinel,8.25,,,,,,,
97,02-04-010-310-5,200,Rutile,3.30,,,,,,,
97,02-04-010-310-5,200,Oxide,HfO2,,,,,,,
98,02-04-011-321-4,100,Spinel,8.10,,,,,,,
98,02-04-011-321-4,100,Rutile,3.30,,,,,,,
98,02-04-011-321-4,100,Oxide,Al2O3,,,,,,,
99,02-04-011-324-4,115,Oxide,"Ni(W,Mo)O4 Type 1",,,,,,,
99,02-04-011-324-4,115,Spinel,8.05,,,,,,,
99,02-04-011-324-4,115,Spinel,8.25,,,,,,,
99,02-04-011-324-4,115,Rutile,3.30,,,,,,,
99,02-04-011-324-4,115,Oxide,NiO,,,,,,,
100,02-04-012-323-3,100,Oxide,NiO,,,,,,,
100,02-04-012-323-3,100,Spinel,8.25,,,,,,,
100,02-04-012-323-3,100,Rutile,3.30,,,,,,,
100,02-04-012-323-3,100,Spinel,8.10,,,,,,,
100,02-04-012-323-3,100,Oxide,Al2O3,,,,,,,
100,02-04-012-323-3,100,Oxide,Cr2O3,,,,,,,
101,02-04-012-325-3,200,Spinel,8.10,,,,,,,
101,02-04-012-325-3,200,Oxide,NiO,,,,,,,
101,02-04-012-325-3,200,Spinel,8.25,,,,,,,
101,02-04-012-325-3,200,Rutile,3.30,,,,,,,
101,02-04-012-325-3,200,Oxide,Cr2O3,,,,,,,
102,02-04-013-322-1,100,Oxide,NiO,,,,,,,
102,02-04-013-322-1,100,Spinel,8.30,,,,,,,
102,02-04-013-322-1,100,Oxide,Cr2O3,,,,,,,
102,02-04-013-322-1,100,Rutile,3.30,,,,,,,
103,02-04-013-325-1,200,Oxide,NiO,,,,,,,
103,02-04-013-325-1,200,Spinel,8.30,,,,,,,
103,02-04-013-325-1,200,Oxide,Cr2O3,,,,,,,
103,02-04-013-325-1,200,Rutile,3.30,,,,,,,
103,02-04-013-325-1,200,Oxide,"Ni(W,Mo)O4 Type 1",,,,,,,
104,02-04-021-041-3,100,Rutile,3.30,,,,,,,
104,02-04-021-041-3,100,Spinel,8.15,,,,,,,
104,02-04-021-041-3,100,Oxide,Al2O3,,,,,,,
105,02-04-021-078-3,100,Rutile,3.30,,,,,,,
105,02-04-021-078-3,100,Oxide,NiO,,,,,,,
105,02-04-021-078-3,100,Spinel,8.10,,,,,,,
105,02-04-021-078-3,100,Oxide,ZrO2,,,,,,,
106,02-04-021-078-6,100,Rutile,3.30,,,,,,,
106,02-04-021-078-6,100,Spinel,8.10,,,,,,,
106,02-04-021-078-6,100,Oxide,Al2O3,,,,,,,
106,02-04-021-078-6,100,Oxide,ZrO2,,,,,,,
106,02-04-021-078-6,100,Oxide,NiO,,,,,,,
107,02-04-021-101-4,100,Oxide,Al2O3,,,,,,,
107,02-04-021-101-4,100,Rutile,3.30,,,,,,,
107,02-04-021-101-4,100,Spinel,8.15,,,,,,,
112,02-04-021-129-5,100,Spinel,8.10,,,,,,,
112,02-04-021-129-5,100,Rutile,3.30,,,,,,,
112,02-04-021-129-5,100,Oxide,Al2O3,,,,,,,
112,02-04-021-129-5,100,Oxide,ZrO2,,,,,,,
113,02-04-021-129-6,100,Spinel,8.10,,,,,,,
113,02-04-021-129-6,100,Rutile,3.30,,,,,,,
113,02-04-021-129-6,100,Oxide,Al2O3,,,,,,,
113,02-04-021-129-6,100,Oxide,ZrO2,,,,,,,
114,02-04-021-204-5,100,Oxide,Cr2O3,,,,,,,
114,02-04-021-204-5,100,Oxide,Al2O3,,,,,,,
115,02-04-021-001-1,8,Rutile,3.30,,,,,,,
115,02-04-021-001-1,8,Oxide,Al2O3,,,,,,,
115,02-04-021-001-1,8,Spinel,8.10,,,,,,,
115,02-04-021-001-1,8,Spinel,8.30,,,,,,,
115,02-04-021-001-5,100,Rutile,3.30,,,,,,,
115,02-04-021-001-5,100,Spinel,8.10,,,,,,,
115,02-04-021-001-5,100,Oxide,Al2O3,,,,,,,
119,02-04-021-190-6,200,Spinel,8.10,,,,,,,
119,02-04-021-190-6,200,Oxide,Al2O3,,,,,,,
119,02-04-021-190-6,200,Rutile,3.30,,,,,,,
120,02-04-021-005-1,8,Rutile,3.30,,,,,,,
120,02-04-021-005-1,8,Oxide,Al2O3,,,,,,,
120,02-04-021-005-1,8,Spinel,8.10,,,,,,,
120,02-04-021-005-5,100,Rutile,3.30,,,,,,,
120,02-04-021-005-5,100,Oxide,Al2O3,,,,,,,
120,02-04-021-005-5,100,Spinel,8.10,,,,,,,
121,02-04-027-102-3,100,Oxide,NiO,,,,,,,
121,02-04-027-102-3,100,Spinel,8.10,,,,,,,
123,02-04-027-139-4,100,Oxide,NiO,,,,,,,
123,02-04-027-139-4,100,Oxide,Al2O3,,,,,,,
123,02-04-027-139-4,100,Spinel,8.05,,,,,,,
125,02-04-025-108-3,100,Oxide,Cr2O3,,,,,,,
125,02-04-025-108-3,100,Oxide,NiO,,,,,,,
126,02-04-025-232-3,200,Oxide,Cr2O3,,,,,,,
126,02-04-025-232-3,200,Spinel,8.30,,,,,,,
126,02-04-025-232-3,200,Oxide,NiO,,,,,,,
127,02-04-016-108-4,100,Rutile,3.30,,,,,,,
129,02-04-016-232-6,200,Spinel,8.15,,,,,,,
129,02-04-016-232-6,200,Rutile,3.30,,,,,,,
129,02-04-016-232-6,200,Oxide,Cr2O3,,,,,,,
130,02-04-017-322-4,100,Spinel,8.10,,,,,,,
130,02-04-017-322-4,100,Rutile,3.30,,,,,,,
130,02-04-017-322-4,100,Spinel,8.25,,,,,,,
130,02-04-017-322-4,100,Oxide,Al2O3,,,,,,,
130,02-04-017-322-4,100,Oxide,HfO2,,,,,,,
131,02-04-017-325-4,200,Spinel,8.25,,,,,,,
131,02-04-017-325-4,200,Spinel,8.10,,,,,,,
131,02-04-017-325-4,200,Rutile,3.30,,,,,,,
131,02-04-017-325-4,200,Oxide,"Ni(W,Mo)O4 Type 1",,,,,,,
131,02-04-017-325-4,200,Oxide,Cr2O3,,,,,,,
131,02-04-017-325-4,200,Oxide,HfO2,,,,,,,
133,02-04-019-101-2,100,Rutile,3.30,,,,,,,
133,02-04-019-101-2,100,Oxide,Al2O3,,,,,,,
133,02-04-019-101-2,100,Spinel,8.10,,,,,,,
135,02-04-019-107-6,100,Oxide,NiO,,,,,,,
135,02-04-019-107-6,100,Rutile,3.30,,,,,,,
135,02-04-019-107-6,100,Spinel,8.25,,,,,,,
136,02-04-019-204-6,100,Rutile,3.30,,,,,,,
136,02-04-019-204-6,100,Oxide,NiO,,,,,,,
136,02-04-019-204-6,100,Spinel,8.25,,,,,,,
137,02-04-019-321-3,100,Spinel,8.10,,,,,,,
137,02-04-019-321-3,100,Rutile,3.30,,,,,,,
137,02-04-019-321-3,100,Oxide,NiO,,,,,,,
137,02-04-019-321-3,100,Oxide,Al2O3,,,,,,,
137,02-04-019-321-3,100,Oxide,ZrO2,,,,,,,
138,02-04-019-115-1,100,Spinel,8.10,,,,,,,
138,02-04-019-115-1,100,Rutile,3.30,,,,,,,
138,02-04-019-115-1,100,Oxide,Al2O3,,,,,,,
138,02-04-019-115-1,100,Oxide,NiO,,,,,,,
138,02-04-019-115-1,100,Spinel,8.25,,,,,,,
140,02-04-019-190-1,200,Spinel,8.15,,,,,,,
140,02-04-019-190-1,200,Oxide,Al2O3,,,,,,,
140,02-04-019-190-1,200,Rutile,3.30,,,,,,,
141,02-04-019-324-3,200,Spinel,8.10,,,,,,,
141,02-04-019-324-3,200,Rutile,3.30,,,,,,,
141,02-04-019-324-3,200,Oxide,NiO,,,,,,,
141,02-04-019-324-3,200,Oxide,"Ni(W,Mo)O4 Type 1",,,,,,,
141,02-04-019-324-3,200,Oxide,Al2O3,,,,,,,
142,02-04-032-322-2,100,Spinel,8.10,,,,,,,
142,02-04-032-322-2,100,Oxide,Al2O3,,,,,,,
142,02-04-032-322-2,100,Rutile,3.30,,,,,,,
142,02-04-032-322-2,100,Oxide,HfO2,,,,,,,
143,02-04-032-325-2,200,Spinel,8.10,,,,,,,
143,02-04-032-325-2,200,Oxide,Al2O3,,,,,,,
143,02-04-032-325-2,200,Rutile,3.30,,,,,,,
143,02-04-032-325-2,200,Oxide,HfO2,,,,,,,
144,02-04-022-321-6,100,Spinel,8.25,,,,,,,
144,02-04-022-321-6,100,Spinel,8.10,,,,,,,
144,02-04-022-321-6,100,Oxide,NiTiO3,,,,,,,
144,02-04-022-321-6,100,Oxide,Cr2O3,,,,,,,
144,02-04-022-321-6,100,Oxide,Al2O3,,,,,,,
144,02-04-022-321-6,100,Rutile,3.30,,,,,,,
145,02-13-016-323-6,100,Spinel,8.30,,,,,,,
145,02-13-016-323-6,100,Spinel,8.10,,,,,,,
145,02-13-016-323-6,100,Oxide,NiO,,,,,,,
145,02-13-016-323-6,100,Oxide,Cr2O3,,,,,,,
145,02-13-016-323-6,100,Oxide,"(Ni,Co,Fe)TiO3",,,,,,,
145,02-13-016-323-6,100,Oxide,Al2O3,,,,,,,
145,02-13-016-323-6,100,Rutile,3.30,,,,,,,
146,02-04-022-251-1,200,Spinel,8.15,,,,,,,
146,02-04-022-251-1,200,Rutile,3.30,,,,,,,
146,02-04-022-251-1,200,Oxide,Al2O3,,,,,,,
146,02-04-022-251-1,200,Rutile,3.30,,,,,,,
147,02-04-022-251-2,200,Spinel,8.15,,,,,,,
147,02-04-022-251-2,200,Rutile,3.30,,,,,,,
147,02-04-022-251-2,200,Oxide,Al2O3,,,,,,,
147,02-04-022-251-2,200,Rutile,3.30,,,,,,,
147,02-04-022-251-2,200,Oxide,Cr2O3,,,,,,,
150,02-13-016-310-6,200,Spinel,8.10,,,,,,,
150,02-13-016-310-6,200,Oxide,Al2O3,,,,,,,
150,02-13-016-310-6,200,Rutile,3.30,,,,,,,
151,02-04-022-324-6,200,Spinel,8.10,,,,,,,
151,02-04-022-324-6,200,Oxide,NiO,,,,,,,
151,02-04-022-324-6,200,Spinel,8.25,,,,,,,
151,02-04-022-324-6,200,Oxide,"(Ni,Co,Fe)TiO3",,,,,,,
151,02-04-022-324-6,200,Oxide,Cr2O3,,,,,,,
151,02-04-022-324-6,200,Rutile,3.30,,,,,,,
152,02-13-016-326-6,200,Spinel,8.15,,,,,,,
152,02-13-016-326-6,200,Spinel,8.30,,,,,,,
152,02-13-016-326-6,200,Oxide,"(Ni,Co,Fe)TiO3",,,,,,,
152,02-13-016-326-6,200,Oxide,Cr2O3,,,,,,,
152,02-13-016-326-6,200,Rutile,3.30,,,,,,,
152,02-13-016-326-6,200,Oxide,Al2O3,,,,,,,
153,02-04-023-321-5,100,Spinel,8.30,,,,,,,
153,02-04-023-321-5,100,Oxide,NiO,,,,,,,
153,02-04-023-321-5,100,Oxide,Cr2O3,,,,,,,
153,02-04-023-321-5,100,Oxide,NiTiO3,,,,,,,
153,02-04-023-321-5,100,Rutile,3.30,,,,,,,
154,02-04-023-324-5,200,Spinel,8.30,,,,,,,
154,02-04-023-324-5,200,Oxide,NiO,,,,,,,
154,02-04-023-324-5,200,Oxide,Cr2O3,,,,,,,
154,02-04-023-324-5,200,Oxide,"Ni(W,Mo)O4 Type 2",,,,,,,
154,02-04-023-324-5,200,Rutile,3.30,,,,,,,
156,02-04-024-102-5,100,Oxide,"Ni(W,Mo)O4 Type 1",,,,,,,
